SMS,IsTransaction,Direction,Category,Reason
NEFT inward credit Rs.88900.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.84942 credited.,Yes,Income,NEFT,Money credited
NEFT CR Rs.77441 received from Vendor.,Yes,Income,NEFT,Money credited
Rs.90839 credited to A/c XX1635 via NEFT from ABC Pvt Ltd.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.64587 credited.,Yes,Income,NEFT,Money credited
Rs.22725 credited to A/c XX4923 via NEFT from Vendor.,Yes,Income,NEFT,Money credited
NEFT CR Rs.96968 received from Infosys.,Yes,Income,NEFT,Money credited
Salary of Rs.4922 credited through NEFT.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.95822.,Yes,Income,NEFT,Money credited
Salary of Rs.3463 credited through NEFT.,Yes,Income,NEFT,Money credited
Rs.84435 credited to A/c XX8247 via NEFT from Raj Kumar.,Yes,Income,NEFT,Money credited
NEFT CR Rs.39218 received from TCS.,Yes,Income,NEFT,Money credited
Salary of Rs.91318 credited through NEFT.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.1041 credited.,Yes,Income,NEFT,Money credited
Rs.62926 credited to A/c XX1716 via NEFT from LIC.,Yes,Income,NEFT,Money credited
Rs.68234 credited to A/c XX1058 via NEFT from Rahul.,Yes,Income,NEFT,Money credited
Salary of Rs.73299 credited through NEFT.,Yes,Income,NEFT,Money credited
Rs.46452 credited to A/c XX5204 via NEFT from Infosys.,Yes,Income,NEFT,Money credited
NEFT CR Rs.51336 received from LIC.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.93379.,Yes,Income,NEFT,Money credited
Salary of Rs.26653 credited through NEFT.,Yes,Income,NEFT,Money credited
Rs.91798 credited to A/c XX4726 via NEFT from LIC.,Yes,Income,NEFT,Money credited
Salary of Rs.53192 credited through NEFT.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.92592 credited.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.33198.,Yes,Income,NEFT,Money credited
Salary of Rs.64788 credited through NEFT.,Yes,Income,NEFT,Money credited
Rs.96413 credited to A/c XX6137 via NEFT from LIC.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.18299 credited.,Yes,Income,NEFT,Money credited
NEFT CR Rs.16635 received from Rahul.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.70990 credited.,Yes,Income,NEFT,Money credited
NEFT CR Rs.45271 received from Anitha.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.38962.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.51248 credited.,Yes,Income,NEFT,Money credited
NEFT CR Rs.78203 received from LIC.,Yes,Income,NEFT,Money credited
Rs.30764 credited to A/c XX6154 via NEFT from Infosys.,Yes,Income,NEFT,Money credited
Salary of Rs.88495 credited through NEFT.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.67981.,Yes,Income,NEFT,Money credited
Rs.91450 credited to A/c XX2186 via NEFT from Anitha.,Yes,Income,NEFT,Money credited
Rs.36475 credited to A/c XX8148 via NEFT from Rahul.,Yes,Income,NEFT,Money credited
Rs.60716 credited to A/c XX2652 via NEFT from Infosys.,Yes,Income,NEFT,Money credited
Rs.20159 credited to A/c XX7704 via NEFT from Vendor.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.26893.,Yes,Income,NEFT,Money credited
Salary of Rs.73747 credited through NEFT.,Yes,Income,NEFT,Money credited
Rs.41797 credited to A/c XX2124 via NEFT from Rahul.,Yes,Income,NEFT,Money credited
Rs.51595 credited to A/c XX6313 via NEFT from Raj Kumar.,Yes,Income,NEFT,Money credited
NEFT CR Rs.73774 received from Raj Kumar.,Yes,Income,NEFT,Money credited
Rs.27955 credited to A/c XX7297 via NEFT from Vendor.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.67629.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.8980.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.33473.,Yes,Income,NEFT,Money credited
Funds received via NEFT. Rs.49166 credited.,Yes,Income,NEFT,Money credited
Salary of Rs.20665 credited through NEFT.,Yes,Income,NEFT,Money credited
Rs.84384 credited to A/c XX2121 via NEFT from Rahul.,Yes,Income,NEFT,Money credited
Salary of Rs.67730 credited through NEFT.,Yes,Income,NEFT,Money credited
NEFT CR Rs.54358 received from Vendor.,Yes,Income,NEFT,Money credited
Rs.61986 credited to A/c XX8279 via NEFT from Anitha.,Yes,Income,NEFT,Money credited
NEFT CR Rs.89573 received from ABC Pvt Ltd.,Yes,Income,NEFT,Money credited
NEFT inward credit Rs.79415.,Yes,Income,NEFT,Money credited
NEFT outward transfer Rs.42656 processed.,Yes,Expense,NEFT,Money debited
Rs.95005 transferred via NEFT to Rahul.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.83438 successful.,Yes,Expense,NEFT,Money debited
Payment of Rs.487 made via NEFT.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.33186 successful.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.33720 successful.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.25914 processed.,Yes,Expense,NEFT,Money debited
Your A/c XX4498 debited Rs.76593 by NEFT.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.89550 successful.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.10927 processed.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.36934 successful.,Yes,Expense,NEFT,Money debited
Payment of Rs.85371 made via NEFT.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.49749 processed.,Yes,Expense,NEFT,Money debited
Rs.82647 transferred via NEFT to Raj Kumar.,Yes,Expense,NEFT,Money debited
Rs.9342 transferred via NEFT to ABC Pvt Ltd.,Yes,Expense,NEFT,Money debited
Your A/c XX5347 debited Rs.87737 by NEFT.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.88945 processed.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.49951 successful.,Yes,Expense,NEFT,Money debited
Your A/c XX7910 debited Rs.40754 by NEFT.,Yes,Expense,NEFT,Money debited
Your A/c XX1252 debited Rs.15842 by NEFT.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.28145 successful.,Yes,Expense,NEFT,Money debited
Rs.43193 transferred via NEFT to Anitha.,Yes,Expense,NEFT,Money debited
Payment of Rs.52135 made via NEFT.,Yes,Expense,NEFT,Money debited
Rs.29503 transferred via NEFT to Infosys.,Yes,Expense,NEFT,Money debited
Your A/c XX8560 debited Rs.92902 by NEFT.,Yes,Expense,NEFT,Money debited
Your A/c XX6708 debited Rs.23520 by NEFT.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.99623 successful.,Yes,Expense,NEFT,Money debited
Payment of Rs.43962 made via NEFT.,Yes,Expense,NEFT,Money debited
Payment of Rs.61535 made via NEFT.,Yes,Expense,NEFT,Money debited
Rs.27992 transferred via NEFT to Anitha.,Yes,Expense,NEFT,Money debited
Rs.79441 transferred via NEFT to Rahul.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.85025 successful.,Yes,Expense,NEFT,Money debited
Payment of Rs.47454 made via NEFT.,Yes,Expense,NEFT,Money debited
Payment of Rs.69136 made via NEFT.,Yes,Expense,NEFT,Money debited
Rs.98526 transferred via NEFT to TCS.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.10372 successful.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.34113 processed.,Yes,Expense,NEFT,Money debited
Your A/c XX2741 debited Rs.44624 by NEFT.,Yes,Expense,NEFT,Money debited
Rs.55083 transferred via NEFT to Infosys.,Yes,Expense,NEFT,Money debited
Rs.85687 transferred via NEFT to LIC.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.90826 processed.,Yes,Expense,NEFT,Money debited
Rs.20842 transferred via NEFT to TCS.,Yes,Expense,NEFT,Money debited
Your A/c XX5590 debited Rs.9165 by NEFT.,Yes,Expense,NEFT,Money debited
Payment of Rs.90242 made via NEFT.,Yes,Expense,NEFT,Money debited
Rs.77874 transferred via NEFT to TCS.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.91171 processed.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.84673 successful.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.77946 successful.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.63114 processed.,Yes,Expense,NEFT,Money debited
Rs.71478 transferred via NEFT to Infosys.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.26757 processed.,Yes,Expense,NEFT,Money debited
Payment of Rs.15382 made via NEFT.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.19486 processed.,Yes,Expense,NEFT,Money debited
Rs.47849 transferred via NEFT to TCS.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.44358 successful.,Yes,Expense,NEFT,Money debited
Your A/c XX2922 debited Rs.85330 by NEFT.,Yes,Expense,NEFT,Money debited
Rs.91516 transferred via NEFT to Anitha.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.57651 processed.,Yes,Expense,NEFT,Money debited
Your A/c XX2331 debited Rs.15950 by NEFT.,Yes,Expense,NEFT,Money debited
Payment of Rs.18479 made via NEFT.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.51056 processed.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.18599 successful.,Yes,Expense,NEFT,Money debited
Rs.3677 transferred via NEFT to ABC Pvt Ltd.,Yes,Expense,NEFT,Money debited
Your A/c XX7100 debited Rs.85726 by NEFT.,Yes,Expense,NEFT,Money debited
Rs.28007 transferred via NEFT to TCS.,Yes,Expense,NEFT,Money debited
Your A/c XX9016 debited Rs.80490 by NEFT.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.11578 successful.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.53150 successful.,Yes,Expense,NEFT,Money debited
Your A/c XX9556 debited Rs.31370 by NEFT.,Yes,Expense,NEFT,Money debited
Your A/c XX7343 debited Rs.95731 by NEFT.,Yes,Expense,NEFT,Money debited
Your A/c XX8065 debited Rs.12905 by NEFT.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.88426 processed.,Yes,Expense,NEFT,Money debited
Your A/c XX3533 debited Rs.66405 by NEFT.,Yes,Expense,NEFT,Money debited
Payment of Rs.90558 made via NEFT.,Yes,Expense,NEFT,Money debited
Your A/c XX8976 debited Rs.44786 by NEFT.,Yes,Expense,NEFT,Money debited
Rs.99557 transferred via NEFT to LIC.,Yes,Expense,NEFT,Money debited
Rs.56421 transferred via NEFT to Anitha.,Yes,Expense,NEFT,Money debited
Payment of Rs.18213 made via NEFT.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.66792 processed.,Yes,Expense,NEFT,Money debited
Rs.72568 transferred via NEFT to Vendor.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.78736 processed.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.45870 successful.,Yes,Expense,NEFT,Money debited
Payment of Rs.23681 made via NEFT.,Yes,Expense,NEFT,Money debited
Rs.92035 transferred via NEFT to LIC.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.94016 successful.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.16775 processed.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.45282 successful.,Yes,Expense,NEFT,Money debited
Payment of Rs.17830 made via NEFT.,Yes,Expense,NEFT,Money debited
Payment of Rs.11934 made via NEFT.,Yes,Expense,NEFT,Money debited
Your A/c XX2502 debited Rs.45068 by NEFT.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.41882 processed.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.10318 processed.,Yes,Expense,NEFT,Money debited
Payment of Rs.65352 made via NEFT.,Yes,Expense,NEFT,Money debited
Rs.68540 transferred via NEFT to LIC.,Yes,Expense,NEFT,Money debited
Your A/c XX5951 debited Rs.32454 by NEFT.,Yes,Expense,NEFT,Money debited
NEFT debit of Rs.22584 successful.,Yes,Expense,NEFT,Money debited
Your A/c XX1656 debited Rs.11854 by NEFT.,Yes,Expense,NEFT,Money debited
Payment of Rs.58316 made via NEFT.,Yes,Expense,NEFT,Money debited
NEFT outward transfer Rs.32978 processed.,Yes,Expense,NEFT,Money debited
Rs.40102 transferred via NEFT to Anitha.,Yes,Expense,NEFT,Money debited
NEFT beneficiary added successfully.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
NEFT cancelled successfully.,No,Unknown,NEFT,No money movement
NEFT cancelled successfully.,No,Unknown,NEFT,No money movement
NEFT beneficiary added successfully.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT cancelled successfully.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT request pending.,No,Unknown,NEFT,No money movement
NEFT limit updated.,No,Unknown,NEFT,No money movement
NEFT limit updated.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT cancelled successfully.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
NEFT transfer failed. No amount debited.,No,Unknown,NEFT,No money movement
NEFT maintenance in progress.,No,Unknown,NEFT,No money movement
NEFT cancelled successfully.,No,Unknown,NEFT,No money movement
NEFT request pending.,No,Unknown,NEFT,No money movement
NEFT transfer failed. No amount debited.,No,Unknown,NEFT,No money movement
NEFT cancelled successfully.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT limit updated.,No,Unknown,NEFT,No money movement
NEFT transfer failed. No amount debited.,No,Unknown,NEFT,No money movement
NEFT beneficiary added successfully.,No,Unknown,NEFT,No money movement
NEFT limit updated.,No,Unknown,NEFT,No money movement
NEFT maintenance in progress.,No,Unknown,NEFT,No money movement
NEFT cancelled successfully.,No,Unknown,NEFT,No money movement
NEFT transfer failed. No amount debited.,No,Unknown,NEFT,No money movement
NEFT maintenance in progress.,No,Unknown,NEFT,No money movement
Register for NEFT services.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT beneficiary added successfully.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT beneficiary added successfully.,No,Unknown,NEFT,No money movement
Register for NEFT services.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT transfer failed. No amount debited.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT beneficiary added successfully.,No,Unknown,NEFT,No money movement
NEFT cancelled successfully.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT request pending.,No,Unknown,NEFT,No money movement
NEFT beneficiary added successfully.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT maintenance in progress.,No,Unknown,NEFT,No money movement
NEFT beneficiary added successfully.,No,Unknown,NEFT,No money movement
NEFT cancelled successfully.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT request pending.,No,Unknown,NEFT,No money movement
Register for NEFT services.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT maintenance in progress.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT maintenance in progress.,No,Unknown,NEFT,No money movement
NEFT beneficiary added successfully.,No,Unknown,NEFT,No money movement
NEFT reference generated.,No,Unknown,NEFT,No money movement
NEFT maintenance in progress.,No,Unknown,NEFT,No money movement
NEFT maintenance in progress.,No,Unknown,NEFT,No money movement
NEFT limit updated.,No,Unknown,NEFT,No money movement
NEFT request pending.,No,Unknown,NEFT,No money movement
NEFT transfer failed. No amount debited.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
Register for NEFT services.,No,Unknown,NEFT,No money movement
NEFT limit updated.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
NEFT transfer failed. No amount debited.,No,Unknown,NEFT,No money movement
NEFT beneficiary added successfully.,No,Unknown,NEFT,No money movement
NEFT beneficiary added successfully.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
Register for NEFT services.,No,Unknown,NEFT,No money movement
NEFT transfer failed. No amount debited.,No,Unknown,NEFT,No money movement
NEFT cancelled successfully.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
NEFT request pending.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
NEFT maintenance in progress.,No,Unknown,NEFT,No money movement
NEFT cancelled successfully.,No,Unknown,NEFT,No money movement
NEFT transaction scheduled for tomorrow.,No,Unknown,NEFT,No money movement
NEFT transfer failed. No amount debited.,No,Unknown,NEFT,No money movement
NEFT maintenance in progress.,No,Unknown,NEFT,No money movement
NEFT transfer failed. No amount debited.,No,Unknown,NEFT,No money movement
Register for NEFT services.,No,Unknown,NEFT,No money movement
NEFT request pending.,No,Unknown,NEFT,No money movement
NEFT service unavailable.,No,Unknown,NEFT,No money movement
