SMS,IsTransaction,Category,Reason
"Dear Customer, Rs.25,000 to Rs.25,000 personal loan can be credited instantly on 06.07.2026. Apply Now: http://example.in/9964 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.50,000 quick loan can be disbursed on 21.11.2026. Complete KYC to proceed: http://example.in/8572 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.80,000 to Rs.5,00,000 loan can be credited to your Bank A/c on 07.06.2026. Instant approval: http://example.in/1770 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.1,50,000 loan approved subject to verification on 21.04.2026. Apply Now: http://example.in/2151 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.50,000 instant cash loan available on 24.12.2026. Click to know more: http://example.in/2989 - KreditBee",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.5,00,000 loan approved subject to verification on 10.04.2026. Complete KYC to proceed: http://example.in/6735 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.80,000 to Rs.5,00,000 cash loan up to Rs.5,00,000 on 21.05.2026. Get money in minutes: http://example.in/8307 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.5,00,000 cash loan up to Rs.5,00,000 on 15.02.2026. Complete KYC to proceed: http://example.in/1493 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.50,000 loan approved subject to verification on 17.07.2026. Instant approval: http://example.in/9041 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,00,000 to Rs.5,00,000 you are eligible for a personal loan on 05.11.2026. Apply Now: http://example.in/6483 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.25,000 loan offer waiting for you on 07.03.2026. Check if you qualify: http://example.in/2695 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.80,000 cash loan up to Rs.80,000 on 27.01.2026. Instant approval: http://example.in/1687 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.25,000 loan offer waiting for you on 26.05.2026. Get money in minutes: http://example.in/9852 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.25,000 personal loan can be credited instantly on 21.04.2026. Offer valid today: http://example.in/9624 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.80,000 to Rs.1,50,000 loan offer waiting for you on 24.09.2026. Complete KYC to proceed: http://example.in/8464 - MoneyView",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.80,000 personal loan can be credited instantly on 25.07.2026. Offer valid today: http://example.in/6766 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.1,50,000 credit line available on 02.12.2026. Check if you qualify: http://example.in/6569 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,00,000 to Rs.5,00,000 quick loan can be disbursed on 05.03.2026. Apply Now: http://example.in/5512 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.5,000 pre-approved loan available on 05.07.2026. Get money in minutes: http://example.in/3596 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.25,000 loan can be credited to your Bank A/c on 23.08.2026. Click to know more: http://example.in/8664 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.5,00,000 instant cash loan available on 06.12.2026. Click to know more: http://example.in/9005 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.80,000 to Rs.1,50,000 cash loan up to Rs.1,50,000 on 13.04.2026. Check if you qualify: http://example.in/7277 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.50,000 quick loan can be disbursed on 21.07.2026. Limited period offer: http://example.in/7930 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.1,50,000 to Rs.1,50,000 loan can be credited to your Bank A/c on 04.04.2026. Apply Now: http://example.in/3028 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.5,00,000 instant cash loan available on 19.03.2026. Offer valid today: http://example.in/1736 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.1,50,000 you are eligible for a personal loan on 26.08.2026. Complete KYC to proceed: http://example.in/1558 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.10,000 you are eligible for a personal loan on 02.03.2026. Instant approval: http://example.in/7304 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.1,50,000 credit line available on 24.06.2026. Check if you qualify: http://example.in/1680 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.50,000 cash loan up to Rs.50,000 on 08.05.2026. Limited period offer: http://example.in/6721 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.5,00,000 personal loan can be credited instantly on 21.05.2026. Limited period offer: http://example.in/2570 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.1,50,000 cash loan up to Rs.1,50,000 on 08.09.2026. Get money in minutes: http://example.in/1486 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.10,000 personal loan can be credited instantly on 28.03.2026. Get money in minutes: http://example.in/2895 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.80,000 quick loan can be disbursed on 19.10.2026. Get money in minutes: http://example.in/5439 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.80,000 to Rs.1,50,000 loan approved subject to verification on 07.01.2026. Instant approval: http://example.in/4030 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.50,000 instant cash loan available on 17.09.2026. Get money in minutes: http://example.in/6169 - Ram Fincor",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.10,000 loan offer waiting for you on 28.02.2026. Limited period offer: http://example.in/1152 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.50,000 instant cash loan available on 23.06.2026. Apply Now: http://example.in/3936 - MoneyView",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.10,000 instant cash loan available on 03.04.2026. Offer valid today: http://example.in/5665 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.1,50,000 loan can be credited to your Bank A/c on 16.01.2026. Limited period offer: http://example.in/2168 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.1,50,000 pre-approved loan available on 22.07.2026. Check if you qualify: http://example.in/8989 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.80,000 you are eligible for a personal loan on 04.08.2026. Click to know more: http://example.in/1214 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.5,00,000 quick loan can be disbursed on 01.01.2026. Click to know more: http://example.in/5689 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.1,50,000 personal loan can be credited instantly on 20.11.2026. Get money in minutes: http://example.in/1614 - Ram Fincor",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.5,00,000 loan approved subject to verification on 10.03.2026. Complete KYC to proceed: http://example.in/1029 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.50,000 loan offer waiting for you on 16.03.2026. Check if you qualify: http://example.in/1931 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.5,00,000 personal loan can be credited instantly on 08.07.2026. Apply Now: http://example.in/6254 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.25,000 personal loan can be credited instantly on 16.06.2026. Limited period offer: http://example.in/3427 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.5,00,000 pre-approved loan available on 03.08.2026. Limited period offer: http://example.in/7431 - MoneyView",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.1,50,000 pre-approved loan available on 20.11.2026. Limited period offer: http://example.in/3252 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.25,000 instant cash loan available on 13.01.2026. Limited period offer: http://example.in/3211 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.25,000 loan can be credited to your Bank A/c on 01.10.2026. Apply Now: http://example.in/6657 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.10,000 loan approved subject to verification on 09.12.2026. Apply Now: http://example.in/4927 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.50,000 pre-approved loan available on 16.08.2026. Click to know more: http://example.in/2413 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.50,000 instant cash loan available on 13.03.2026. Offer valid today: http://example.in/1218 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.1,50,000 loan approved subject to verification on 22.04.2026. Complete KYC to proceed: http://example.in/9903 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.1,50,000 to Rs.5,00,000 pre-approved loan available on 05.03.2026. Get money in minutes: http://example.in/8468 - Ram Fincor",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.25,000 quick loan can be disbursed on 25.10.2026. Offer valid today: http://example.in/2455 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.80,000 pre-approved loan available on 24.07.2026. Get money in minutes: http://example.in/4119 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.1,50,000 instant cash loan available on 07.07.2026. Limited period offer: http://example.in/5123 - MoneyView",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.50,000 loan approved subject to verification on 11.02.2026. Check if you qualify: http://example.in/7501 - MoneyView",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.5,000 loan offer waiting for you on 10.11.2026. Instant approval: http://example.in/8244 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.1,50,000 to Rs.1,50,000 credit line available on 13.09.2026. Get money in minutes: http://example.in/4960 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.80,000 pre-approved loan available on 18.12.2026. Get money in minutes: http://example.in/1792 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.5,00,000 loan offer waiting for you on 17.03.2026. Limited period offer: http://example.in/9347 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.5,00,000 you are eligible for a personal loan on 26.02.2026. Offer valid today: http://example.in/3557 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.5,00,000 loan approved subject to verification on 02.12.2026. Apply Now: http://example.in/7264 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.10,000 cash loan up to Rs.10,000 on 20.06.2026. Get money in minutes: http://example.in/4241 - Ram Fincor",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.1,50,000 loan can be credited to your Bank A/c on 07.08.2026. Apply Now: http://example.in/5011 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.80,000 personal loan can be credited instantly on 28.12.2026. Complete KYC to proceed: http://example.in/6942 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.10,000 personal loan can be credited instantly on 07.06.2026. Complete KYC to proceed: http://example.in/8823 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.80,000 to Rs.5,00,000 loan approved subject to verification on 10.06.2026. Offer valid today: http://example.in/2018 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.80,000 loan can be credited to your Bank A/c on 23.08.2026. Apply Now: http://example.in/2770 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.10,000 personal loan can be credited instantly on 03.10.2026. Get money in minutes: http://example.in/8930 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.1,50,000 to Rs.5,00,000 pre-approved loan available on 19.05.2026. Complete KYC to proceed: http://example.in/8540 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.80,000 to Rs.5,00,000 loan offer waiting for you on 07.02.2026. Instant approval: http://example.in/4072 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.80,000 instant cash loan available on 14.03.2026. Instant approval: http://example.in/4565 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.80,000 quick loan can be disbursed on 24.08.2026. Click to know more: http://example.in/7476 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.80,000 to Rs.1,50,000 you are eligible for a personal loan on 15.11.2026. Complete KYC to proceed: http://example.in/8698 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.25,000 loan can be credited to your Bank A/c on 07.07.2026. Instant approval: http://example.in/5646 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.1,50,000 loan offer waiting for you on 01.10.2026. Apply Now: http://example.in/1976 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.25,000 personal loan can be credited instantly on 03.04.2026. Instant approval: http://example.in/1374 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.10,000 quick loan can be disbursed on 20.05.2026. Instant approval: http://example.in/7522 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.50,000 you are eligible for a personal loan on 01.04.2026. Offer valid today: http://example.in/5654 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.5,00,000 loan approved subject to verification on 11.04.2026. Instant approval: http://example.in/4224 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.50,000 cash loan up to Rs.50,000 on 08.06.2026. Check if you qualify: http://example.in/6692 - KreditBee",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.25,000 you are eligible for a personal loan on 21.10.2026. Click to know more: http://example.in/2521 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.5,00,000 personal loan can be credited instantly on 02.07.2026. Click to know more: http://example.in/4244 - KreditBee",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.1,50,000 loan can be credited to your Bank A/c on 14.03.2026. Check if you qualify: http://example.in/6332 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.5,00,000 loan can be credited to your Bank A/c on 12.03.2026. Limited period offer: http://example.in/2369 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.50,000 loan offer waiting for you on 14.01.2026. Instant approval: http://example.in/1628 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.50,000 pre-approved loan available on 18.12.2026. Get money in minutes: http://example.in/1426 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.25,000 loan offer waiting for you on 27.03.2026. Limited period offer: http://example.in/6513 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.50,000 loan approved subject to verification on 11.06.2026. Check if you qualify: http://example.in/7620 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.5,000 loan can be credited to your Bank A/c on 23.03.2026. Instant approval: http://example.in/6287 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.5,000 credit line available on 21.01.2026. Check if you qualify: http://example.in/6706 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.5,00,000 credit line available on 28.11.2026. Click to know more: http://example.in/4563 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.80,000 pre-approved loan available on 01.08.2026. Complete KYC to proceed: http://example.in/7425 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.1,50,000 pre-approved loan available on 16.02.2026. Get money in minutes: http://example.in/8824 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.25,000 instant cash loan available on 03.01.2026. Complete KYC to proceed: http://example.in/2672 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.80,000 cash loan up to Rs.80,000 on 11.08.2026. Click to know more: http://example.in/2202 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.50,000 loan can be credited to your Bank A/c on 05.08.2026. Check if you qualify: http://example.in/1831 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.80,000 personal loan can be credited instantly on 21.05.2026. Offer valid today: http://example.in/7888 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.5,00,000 loan offer waiting for you on 19.11.2026. Instant approval: http://example.in/9841 - MoneyView",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.1,50,000 to Rs.5,00,000 loan approved subject to verification on 15.02.2026. Click to know more: http://example.in/9418 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.1,50,000 credit line available on 02.11.2026. Check if you qualify: http://example.in/8984 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.80,000 to Rs.80,000 quick loan can be disbursed on 28.04.2026. Get money in minutes: http://example.in/6586 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.80,000 quick loan can be disbursed on 24.01.2026. Apply Now: http://example.in/4107 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.2,000 pre-approved loan available on 04.03.2026. Apply Now: http://example.in/6672 - Navi",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.50,000 pre-approved loan available on 06.05.2026. Instant approval: http://example.in/7165 - Ram Fincor",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.50,000 loan offer waiting for you on 21.06.2026. Click to know more: http://example.in/9932 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.10,000 loan approved subject to verification on 10.02.2026. Instant approval: http://example.in/6313 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.25,000 loan approved subject to verification on 26.12.2026. Apply Now: http://example.in/2086 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,00,000 to Rs.5,00,000 personal loan can be credited instantly on 09.05.2026. Complete KYC to proceed: http://example.in/7299 - MoneyView",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.5,00,000 loan can be credited to your Bank A/c on 06.01.2026. Click to know more: http://example.in/3292 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.25,000 loan can be credited to your Bank A/c on 20.02.2026. Get money in minutes: http://example.in/6330 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.10,000 pre-approved loan available on 14.02.2026. Offer valid today: http://example.in/5008 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.50,000 cash loan up to Rs.50,000 on 25.09.2026. Get money in minutes: http://example.in/1193 - Ram Fincor",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.1,50,000 instant cash loan available on 04.03.2026. Apply Now: http://example.in/7450 - PaySense",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.50,000 loan offer waiting for you on 27.02.2026. Click to know more: http://example.in/5449 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.5,000 cash loan up to Rs.5,000 on 06.03.2026. Click to know more: http://example.in/1671 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.80,000 cash loan up to Rs.80,000 on 22.08.2026. Check if you qualify: http://example.in/7424 - LazyPay",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.50,000 to Rs.5,00,000 instant cash loan available on 18.05.2026. Get money in minutes: http://example.in/3625 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.10,000 quick loan can be disbursed on 03.07.2026. Click to know more: http://example.in/7024 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.25,000 quick loan can be disbursed on 28.09.2026. Offer valid today: http://example.in/1420 - KreditBee",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.25,000 personal loan can be credited instantly on 21.08.2026. Instant approval: http://example.in/7853 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.5,00,000 quick loan can be disbursed on 24.07.2026. Instant approval: http://example.in/4466 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.2,000 loan approved subject to verification on 11.08.2026. Click to know more: http://example.in/8539 - KreditBee",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.5,000 to Rs.10,000 cash loan up to Rs.10,000 on 14.12.2026. Offer valid today: http://example.in/5831 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.25,000 to Rs.5,00,000 cash loan up to Rs.5,00,000 on 25.10.2026. Apply Now: http://example.in/3337 - mPokket",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.50,000 loan offer waiting for you on 11.12.2026. Click to know more: http://example.in/8782 - KreditBee",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.1,50,000 loan offer waiting for you on 14.07.2026. Offer valid today: http://example.in/2627 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.50,000 quick loan can be disbursed on 08.05.2026. Offer valid today: http://example.in/1763 - Kissht",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.2,000 to Rs.50,000 cash loan up to Rs.50,000 on 22.08.2026. Apply Now: http://example.in/2420 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.80,000 to Rs.5,00,000 loan approved subject to verification on 26.07.2026. Instant approval: http://example.in/4876 - KreditBee",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.5,00,000 cash loan up to Rs.5,00,000 on 04.03.2026. Limited period offer: http://example.in/5039 - MoneyView",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.80,000 to Rs.80,000 cash loan up to Rs.80,000 on 08.07.2026. Get money in minutes: http://example.in/1666 - Bajaj Finserv",No,Loan Marketing,Promotional message; no actual money movement
"Dear Customer, Rs.10,000 to Rs.1,50,000 pre-approved loan available on 16.10.2026. Get money in minutes: http://example.in/9496 - CASHe",No,Loan Marketing,Promotional message; no actual money movement
